"x","y"
288.5,602.055
289.092,589.609
289.683,591.387
290.275,584.129
290.867,595.091
291.461,596.424
292.052,603.982
292.644,602.204
293.236,590.499
293.829,597.611
294.421,607.831
295.012,599.833
295.603,606.35
296.196,600.574
296.788,596.573
297.38,602.944
297.825,605.314
298.415,588.869
299.006,572.575
299.6,568.424
300.192,544.424
300.999,530.5
301.967,556.129
302.56,590.796
303.152,580.129
303.743,587.833
304.335,595.24
304.927,591.241
305.521,588.276
306.112,572.277
306.556,576.278
307.147,580.275
307.739,585.759
308.331,591.98
308.923,600.574
309.514,596.573
310.106,593.611
310.699,578.795
311.291,585.313
311.883,588.573
312.474,577.017
313.066,565.757
313.658,576.278
314.25,579.982
314.843,566.35
315.435,592.277
315.879,604.72
316.47,604.425
317.062,602.648
317.654,583.388
318.246,582.943
318.837,567.832
319.43,563.387
320.023,542.202
320.614,546.498
321.206,578.202
321.798,606.946
322.391,602.204
322.981,595.981
323.574,605.019
324.166,578.498
324.61,569.314
325.201,581.166
325.794,583.979
326.387,598.351
326.978,622.055
327.568,616.276
328.162,607.388
328.754,601.167
329.345,598.944
329.937,588.722
330.529,590.055
331.122,590.499
331.713,581.461
332.303,571.831
332.897,573.908
333.489,572.128
333.933,553.609
334.526,549.312
335.118,580.87
335.709,588.128
336.301,592.72
336.893,588.426
337.485,595.386
338.076,591.684
338.668,569.314
339.261,553.609
339.854,552.425
340.445,563.684
341.036,571.536
341.628,579.982
342.222,588.573
342.664,585.313
343.257,573.758
343.848,556.276
344.441,547.831
345.032,563.684
345.625,589.758
346.216,596.573
346.809,592.72
347.399,574.944
347.992,566.943
348.585,562.796
349.176,546.647
349.768,547.388
350.359,561.906
350.953,581.759
351.544,595.684
351.988,591.684
352.58,573.462
353.171,583.388
353.763,585.463
354.355,591.98
354.947,598.204
355.54,598.204
356.13,592.871
356.724,604.128
357.316,605.164
357.908,597.758
358.499,596.573
359.091,601.906
359.684,580.129
360.276,560.721
360.867,557.166
361.311,578.351
361.902,583.388
362.495,574.498
363.088,580.721
363.68,569.165
364.271,566.943
364.863,571.831
365.455,555.832
366.046,549.164
366.639,555.536
367.23,580.425
367.823,596.722
368.415,603.684
369.006,608.278
369.598,609.906
370.042,580.572
370.634,600.424
371.226,600.574
371.819,563.98
372.41,543.091
373.002,547.685
373.594,569.46
374.186,571.981
374.778,557.018
375.369,566.203
375.961,585.61
376.555,595.981
377.146,585.759
377.738,585.018
378.329,578.055
378.923,585.165
379.365,597.611
379.959,587.683
380.55,565.757
381.142,569.907
381.733,567.388
382.326,599.685
382.917,598.204
383.509,593.166
384.102,570.054
384.694,564.426
385.285,557.61
385.877,571.24
386.47,585.463
387.06,571.831
387.654,580.129
388.098,574.351
388.69,584.129
389.281,582.943
389.873,587.239
390.465,580.87
391.057,573.758
391.648,570.943
392.24,582.943
392.833,573.017
393.425,547.98
394.017,547.535
394.608,577.612
395.202,598.054
395.792,582.055
396.383,569.758
396.977,582.795
397.421,579.536
398.012,594.943
398.605,603.389
399.196,592.72
399.788,575.685
400.381,586.054
400.972,595.834
401.565,585.313
402.156,576.425
402.747,576.128
403.34,588.869
403.933,573.908
404.523,579.536
405.116,591.094
405.707,587.98
406.151,593.759
406.744,601.757
407.336,596.87
407.929,601.611
408.52,579.831
409.11,585.313
409.704,556.572
410.296,561.758
410.888,570.351
411.479,536.574
