"","x","y"
"1",1967,-0.02
"2",1968,-0.07
"3",1969,0.07
"4",1970,0.03
"5",1971,-0.09
"6",1972,0.01
"7",1973,0.16
"8",1974,-0.08
"9",1975,-0.02
"10",1976,-0.11
"11",1977,0.17
"12",1978,0.06
"13",1979,0.16
"14",1980,0.27
"15",1981,0.33
"16",1982,0.13
"17",1983,0.31
"18",1984,0.16
"19",1985,0.12
"20",1986,0.18
"21",1987,0.33
"22",1988,0.41
"23",1989,0.28
"24",1990,0.44
"25",1991,0.41
"26",1992,0.22
"27",1993,0.24
"28",1994,0.31
"29",1995,0.44
"30",1996,0.33
"31",1997,0.47
"32",1998,0.62
"33",1999,0.39
"34",2000,0.4
"35",2001,0.53
"36",2002,0.62
"37",2003,0.6
"38",2004,0.53
"39",2005,0.67
"40",2006,0.62
"41",2007,0.64
"42",2008,0.51
"43",2009,0.63
"44",2010,0.7
"45",2011,0.57
"46",2012,0.62
"47",2013,0.65
"48",2014,0.73
"49",2015,0.87
"50",2016,0.99
"51",2017,0.9
"52",2018,0.82
