"","x","y"
"1",1880,-0.11
"2",1881,-0.14
"3",1882,-0.18
"4",1883,-0.21
"5",1884,-0.24
"6",1885,-0.26
"7",1886,-0.27
"8",1887,-0.27
"9",1888,-0.27
"10",1889,-0.26
"11",1890,-0.25
"12",1891,-0.26
"13",1892,-0.27
"14",1893,-0.26
"15",1894,-0.24
"16",1895,-0.22
"17",1896,-0.21
"18",1897,-0.18
"19",1898,-0.17
"20",1899,-0.18
"21",1900,-0.2
"22",1901,-0.24
"23",1902,-0.26
"24",1903,-0.29
"25",1904,-0.32
"26",1905,-0.34
"27",1906,-0.36
"28",1907,-0.38
"29",1908,-0.39
"30",1909,-0.4
"31",1910,-0.41
"32",1911,-0.38
"33",1912,-0.34
"34",1913,-0.31
"35",1914,-0.3
"36",1915,-0.29
"37",1916,-0.28
"38",1917,-0.28
"39",1918,-0.28
"40",1919,-0.28
"41",1920,-0.26
"42",1921,-0.25
"43",1922,-0.24
"44",1923,-0.23
"45",1924,-0.22
"46",1925,-0.21
"47",1926,-0.21
"48",1927,-0.2
"49",1928,-0.18
"50",1929,-0.18
"51",1930,-0.18
"52",1931,-0.18
"53",1932,-0.18
"54",1933,-0.17
"55",1934,-0.16
"56",1935,-0.15
"57",1936,-0.12
"58",1937,-0.08
"59",1938,-0.03
"60",1939,0.02
"61",1940,0.05
"62",1941,0.08
"63",1942,0.1
"64",1943,0.09
"65",1944,0.07
"66",1945,0.04
"67",1946,0
"68",1947,-0.04
"69",1948,-0.07
"70",1949,-0.08
"71",1950,-0.08
"72",1951,-0.07
"73",1952,-0.07
"74",1953,-0.08
"75",1954,-0.07
"76",1955,-0.06
"77",1956,-0.05
"78",1957,-0.04
"79",1958,-0.01
"80",1959,0.02
"81",1960,0.03
"82",1961,0.02
"83",1962,0
"84",1963,-0.02
"85",1964,-0.03
"86",1965,-0.04
