"","x","y"
"1",1967,-0.04
"2",1968,-0.03
"3",1969,-0.01
"4",1970,0
"5",1971,0
"6",1972,0
"7",1973,-0.01
"8",1974,0
"9",1975,0.02
"10",1976,0.03
"11",1977,0.07
"12",1978,0.12
"13",1979,0.16
"14",1980,0.2
"15",1981,0.21
"16",1982,0.22
"17",1983,0.21
"18",1984,0.21
"19",1985,0.23
"20",1986,0.25
"21",1987,0.28
"22",1988,0.31
"23",1989,0.34
"24",1990,0.34
"25",1991,0.33
"26",1992,0.33
"27",1993,0.33
"28",1994,0.34
"29",1995,0.37
"30",1996,0.4
"31",1997,0.43
"32",1998,0.45
"33",1999,0.47
"34",2000,0.5
"35",2001,0.52
"36",2002,0.54
"37",2003,0.57
"38",2004,0.6
"39",2005,0.6
"40",2006,0.61
"41",2007,0.61
"42",2008,0.62
"43",2009,0.62
"44",2010,0.62
"45",2011,0.64
"46",2012,0.67
"47",2013,0.71
"48",2014,0.76
"49",2015,0.8
"50",2016,0.85
"51",2017,0.89
"52",2018,0.93
